,code,product_name,quantity,packaging_en,brands_en,categories_en,origins_en,labels_en,countries_en,nutriscore_grade,pnns_groups_1,pnns_groups_2,food_groups_en,environmental_score_score,environmental_score_grade,main_category_en,carbon-footprint_1kg
1670,6413600192855,,,,,"Beverages,Alcoholic beverages,Beers",,,Finland,not-applicable,Alcoholic beverages,Alcoholic beverages,Alcoholic beverages,,,Beers,0.65
1671,6415130041474,,,,,"Beverages and beverages preparations,Plant-based foods and beverages,Beverages,Plant-based beverages,Fruit-based beverages,Juices and nectars,Fruit juices,Multifruit juices",,,Finland,unknown,Beverages,Fruit juices,"Beverages,Fruit juices",,,Multifruit juices,0.95
1672,6415600026628,,,,,"Beverages and beverages preparations,Beverages,Alcoholic beverages,Beers",,,Finland,not-applicable,Alcoholic beverages,Alcoholic beverages,Alcoholic beverages,,,Beers,0.65
1673,6415600546348,Bonaqua,,,,"Beverages,Waters,Spring waters",,,Finland,a,Beverages,Waters and flavored waters,"Beverages,Waters and flavored waters",,,Spring waters,0.0315
1674,6416325681147,Jambon,,,,"Meats and their products,Prepared meats,Hams",,,Finland,unknown,Fish Meat Eggs,Processed meat,"Fish‚ Meat‚ Eggs,Processed meat",,,Hams,13.15
1675,6416710060069,Filos Orzo Jyväpasta,,,,"Meals,Pasta dishes",,,Finland,b,Composite foods,One-dish meals,"Composite foods,One-dish meals",,,Pasta dishes,2.95
1676,6416884000076,,,,,"Beverages and beverages preparations,Beverages,Carbonated drinks,Waters,Spring waters,Mineral waters,Carbonated waters,Carbonated mineral waters",,,Finland,a,Beverages,Waters and flavored waters,"Beverages,Waters and flavored waters",,,Carbonated mineral waters,0.0315
1677,6417777042302,Laktoositon pehmeä rahka,,,,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Quarks",,,Finland,a,Milk and dairy products,Dairy desserts,"Milk and dairy products,Dairy desserts",,,Quarks,2.05
1678,6417777051014,Proteiinivanukas profit suklaa,,,,"Dairies,Desserts,Dairy desserts,Chocolate desserts,Creamy puddings,Chocolate creamy puddings,Refrigerated creamy puddings,Refrigerated chocolate creamy puddings",,,Finland,a,Milk and dairy products,Dairy desserts,"Milk and dairy products,Dairy desserts",,,Refrigerated chocolate creamy puddings,2.05
1679,6417777051021,Proteinpudding profit toffee,,,,"Dairies,Desserts,Dairy desserts,Creamy puddings,Caramel creamy puddings",,,Finland,a,Milk and dairy products,Dairy desserts,"Milk and dairy products,Dairy desserts",,,Caramel creamy puddings,2.05
1680,6417777052011,Protein pudding tupla chocolate,,,,"Desserts,Puddings",,,Finland,a,Milk and dairy products,Dairy desserts,"Milk and dairy products,Dairy desserts",,,Puddings,2.05
1681,6417777052028,Protein pudding tupla salty caramel,,,,"Desserts,Puddings",,,Finland,a,Milk and dairy products,Dairy desserts,"Milk and dairy products,Dairy desserts",,,Puddings,2.05
1682,6419180912203,,,,,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts,Whole milk yogurts",,,Finland,c,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Whole milk yogurts,1.05
1683,6419800053736,,,,,"Beverages,Carbonated drinks,Sodas",,,Finland,unknown,Beverages,Sweetened beverages,"Beverages,Sweetened beverages",,,Sodas,0.55
1684,6419811105301,,,,,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Seeds,Cereals and their products,Cereal grains,Oat",,,Finland,a,Cereals and potatoes,Cereals,"Cereals and potatoes,Cereals",,,Oat,2.65
1685,6420613934723,,,,,"Beverages and beverages preparations,Beverages,Alcoholic beverages,Beers",,,Finland,not-applicable,Alcoholic beverages,Alcoholic beverages,Alcoholic beverages,,,Beers,0.65
1686,6420615451075,Oat biscuits,,,,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits",,,Finland,d,Sugary snacks,Biscuits and cakes,"Sugary snacks,Biscuits and cakes",,,Biscuits,2.5
1687,6421882001383,Pain,,,,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads",,,Finland,unknown,Cereals and potatoes,Bread,"Cereals and potatoes,Bread",,,Breads,2.5
1688,6425888001866,"Lait 1,5% de MG",,,,"Dairies,Milks",,,Finland,unknown,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Milks,1.05
1689,6430051511639,,,,,"Snacks,Sweet snacks,Bars",,,Finland,unknown,Sugary snacks,Biscuits and cakes,"Sugary snacks,Biscuits and cakes",,,Bars,2.5
1690,6430053640368,Kung po tofu nudelwok,,,,"Plant-based foods and beverages,Plant-based foods,Pastas,Noodles,fi:thai",,,Finland,d,Cereals and potatoes,Cereals,"Cereals and potatoes,Cereals",,,fi:thai,2.65
1691,6430055212549,Organic Raw Chocolate Orange,,,,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates",,,Finland,e,Sugary snacks,Chocolate products,"Sugary snacks,Chocolate products",,,Dark chocolates,2.95
1692,6430056260907,Baba Hummus Green,,,,"Plant-based foods and beverages,Plant-based foods,Condiments,Spreads,Plant-based spreads,Salted spreads,Sauces,Dips,Hummus",,,Finland,c,Fat and sauces,Dressings and sauces,"Fats and sauces,Dressings and sauces",,,Hummus,4.607
1693,6430060120167,Unelmatorttu,,,,"Snacks,Sweet snacks,Biscuits and cakes,Cakes",,,Finland,e,Sugary snacks,Biscuits and cakes,"Sugary snacks,Biscuits and cakes",,,Cakes,2.5
1694,6430063530222,Kuusi Spiced Ale,,,,"Beverages,Alcoholic beverages,Beers",,,Finland,not-applicable,Alcoholic beverages,Alcoholic beverages,Alcoholic beverages,,,Beers,0.65
1695,6430064450451,,,,,"Beverages,Alcoholic beverages,Beers",,,Finland,not-applicable,Alcoholic beverages,Alcoholic beverages,Alcoholic beverages,,,Beers,0.65
1696,6430068080111,Chorizo seitan-makkara,,,,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Meat alternatives,Meat analogues,Seitan",,,Finland,unknown,Cereals and potatoes,Cereals,"Cereals and potatoes,Cereals",,,Seitan,2.65
1697,6430075360060,,,,,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Rye breads",,,Finland,b,Cereals and potatoes,Bread,"Cereals and potatoes,Bread",,,Rye breads,2.5
1698,6438574031986,,,,,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Vegetables,Leaf vegetables,Spinachs",,,Finland,unknown,Fruits and vegetables,Vegetables,"Fruits and vegetables,Vegetables",,,Spinachs,1.55
1699,7311142201457,Müsli Nötter and Frukt,,,,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Mueslis",,,Finland,e,Cereals and potatoes,Breakfast cereals,"Cereals and potatoes,Breakfast cereals",,,Mueslis,2.65
1700,7340011464709,,,,,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Spreads,Plant-based spreads,Sweet spreads,Fruit and vegetable preserves,Marmalades",,,Finland,unknown,Sugary snacks,Sweets,"Sugary snacks,Sweets",,,Marmalades,2.95
1701,7340191123557,,,,,"Plant-based foods and beverages,Plant-based foods,Fats,Vegetable fats,Vegetable oils,Fruit and fruit seed oils,Coconut oils",,,Finland,unknown,Fat and sauces,Fats,"Fats and sauces,Fats",,,Coconut oils,6.05
1702,7350129160103,Barista oat taste of caramel,,,,"Plant-based foods and beverages,Beverages,Plant-based foods,Cereals and potatoes,Dairy substitutes,Cereals and their products,Milk substitutes,Plant-based beverages,Plant-based milk alternatives,Cereal-based drinks,Oat-based drinks",,,Finland,d,Beverages,Plant-based milk substitutes,"Beverages,Plant-based milk substitutes",,,Oat-based drinks,0.9
1703,7350129160110,Barista oat taste of vanilla,,,,"Plant-based foods and beverages,Beverages,Plant-based foods,Cereals and potatoes,Dairy substitutes,Cereals and their products,Milk substitutes,Plant-based beverages,Plant-based milk alternatives,Cereal-based drinks,Oat-based drinks",,,Finland,d,Beverages,Plant-based milk substitutes,"Beverages,Plant-based milk substitutes",,,Oat-based drinks,0.9
1704,8410184035750,,,,,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Seeds,Cereals and their products,Cereal grains,Rices,Aromatic rices,Indica rices,Long grain rices,Basmati rices,fi:riisi",,,Finland,b,Cereals and potatoes,Cereals,"Cereals and potatoes,Cereals",,,fi:riisi,2.65
1705,8424236014068,,,,,"Snacks,Sweet snacks,Confectioneries,Candies",,,Finland,e,Sugary snacks,Sweets,"Sugary snacks,Sweets",,,Candies,2.95
1706,8719874540421,,,,,Sandwiches,,,Finland,unknown,Composite foods,Sandwiches,"Composite foods,Sandwiches",,,Sandwiches,2.95
1707,8850987149283,Mama Chicken Flavour Instant Noodles,,,,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Dried products,Pastas,Dried products to be rehydrated,Noodles,Instant noodles,Instant-noodles-with-chicken-flavour",,,Finland,unknown,Cereals and potatoes,Cereals,"Cereals and potatoes,Cereals",,,Instant-noodles-with-chicken-flavour,2.65
1708,74865589833,Plain Potato Chips,,,,"Plant-based foods and beverages,Plant-based foods,Snacks,Cereals and potatoes,Salty snacks,Appetizers,Chips and fries,Crisps,Potato crisps",,"No gluten,Certified gluten-free",Finland,e,Salty snacks,Appetizers,"Salty snacks,Appetizers",,,Potato crisps,2.1
1709,79040461454,,,,,"Desserts,Frozen foods,Frozen desserts,Ice creams and sorbets,ru:мороженное-без-сахара",,No added sugar,Finland,unknown,Milk and dairy products,Ice cream,"Milk and dairy products,Ice cream",,,ru:мороженное-без-сахара,2.6
1710,324585616037,,,,,"Dairies,Milks",,"Vegetarian,Vegan",Finland,unknown,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Milks,1.05
1711,640005612015,Knackebrot,,,,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Crispbreads",,"Vegetarian,Vegan",Finland,unknown,Cereals and potatoes,Bread,"Cereals and potatoes,Bread",,,Crispbreads,2.5
1712,640410514836,Smoked Gouda & Peppers,,,La-terrafina,"Dairies,Fermented foods,Fermented milk products,Cheeses",,No colorings,Finland,unknown,Milk and dairy products,Cheese,"Milk and dairy products,Cheese",,,Cheeses,12.05
1713,643084077614,Magic Asia Saucy Noodles,,,Maggi,"Plant-based foods and beverages,Plant-based foods,Dried products,Pastas,Dried products to be rehydrated,Noodles,Instant noodles",,"Nutriscore,Nutriscore Grade C",Finland,unknown,Cereals and potatoes,Cereals,"Cereals and potatoes,Cereals",,,Instant noodles,2.65
1714,643299023055,Yaos,,,Nestlé,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts,Plain fermented dairy desserts,Plain yogurts",,"Source of proteins,High proteins",Finland,unknown,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Plain yogurts,1.05
1715,648649256909,Pork Breakfast Sausage,,,Niman-ranch,"Meats and their products,Prepared meats,Sausages",,No gluten,Finland,unknown,Fish Meat Eggs,Processed meat,"Fish‚ Meat‚ Eggs,Processed meat",,,Sausages,13.15
1716,850229005719,Original snack mix,,,,"Snacks,Salty snacks,Appetizers,Chips and fries,Crisps",,No gluten,Finland,c,Salty snacks,Appetizers,"Salty snacks,Appetizers",,,Crisps,2.1
1717,20941819,Mixed beans in brine,,,Lidl-freshona,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods",,"Organic,EU Organic,IT-BIO-009",Finland,b,Fruits and vegetables,Vegetables,"Fruits and vegetables,Vegetables",,,Vegetables based foods,1.55
1718,2273729031688,Saucisse de volaille bio,,,Carrefour BIO,"Meats and their products,Meats,Prepared meats,Sausages,Poultry sausages",,"Organic,EU Organic,French meat,French poultry,AB Agriculture Biologique",Finland,d,Fish Meat Eggs,Processed meat,"Fish‚ Meat‚ Eggs,Processed meat",,,Poultry sausages,13.15
1719,2377211712120,Marinoitu broilerin rintaleike,,,,"Meats and their products,Meats,Chicken and its products,Poultries,Chickens,Chicken breasts",,"No gluten,Source of proteins,High proteins,No lactose",Finland,a,Fish Meat Eggs,Meat,"Fish‚ Meat‚ Eggs,Meat,Poultry",,,Chicken breasts,43.33
1720,3045320088618,,,,,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Spreads,Plant-based spreads,Sweet spreads,Fruit and vegetable preserves,Jams",,Green Dot,Finland,unknown,Sugary snacks,Sweets,"Sugary snacks,Sweets",,,Jams,2.95
1721,3045320088663,,,,Bonne-maman,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Spreads,Plant-based spreads,Sweet spreads,Fruit and vegetable preserves,Jams",,Green Dot,Finland,unknown,Sugary snacks,Sweets,"Sugary snacks,Sweets",,,Jams,2.95
1722,3282740217048,Langue de boeuf sauce madère,,,Tipiak,"Meats and their products,Beef and its products,Meals,Meat preparations,Meats,Beef,Meals with meat,Beef dishes,Beef preparations,Beef tongues,Beef tongues with Madeira Sauce",,"French meat,French beef",Finland,c,Fish Meat Eggs,Meat,"Fish‚ Meat‚ Eggs,Meat,Meat other than poultry",,,Beef tongues with Madeira Sauce,43.33
1723,4000539140761,Pretzel & nuts oat-drink,,,lindt,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Plant milk chocolates",,"Vegetarian,Vegan,European Vegetarian Union,European Vegetarian Union Vegan",Finland,e,Sugary snacks,Chocolate products,"Sugary snacks,Chocolate products",,,Plant milk chocolates,2.95
1724,4056489253181,Lohipyörykkä,,,,"Seafood,Fishes and their products,Fishes,Fish preparations,Breaded products,Breaded fish,Fish fingers",,"Responsible aquaculture,Responsible aquaculture ASC",Finland,c,Fish Meat Eggs,Fish and seafood,"Fish‚ Meat‚ Eggs,Fish and seafood",,,Fish fingers,8.45
1725,4056489763734,Sandwich ham & cheese,,,Select-go,Sandwiches,,Nutriscore,Finland,d,Composite foods,Sandwiches,"Composite foods,Sandwiches",,,Sandwiches,2.95
1726,4740036012887,La crema mandariini,,,,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Fermented dairy desserts with fruits",,No lactose,Finland,c,Milk and dairy products,Dairy desserts,"Milk and dairy products,Dairy desserts",,,Fermented dairy desserts with fruits,2.05
1727,4779047981233,Ukrainian borscht,,,Chazz,"Plant-based foods and beverages,Plant-based foods,Snacks,Cereals and potatoes,Salty snacks,Appetizers,Chips and fries,Crisps,Potato crisps",,No preservatives,Finland,d,Salty snacks,Appetizers,"Salty snacks,Appetizers",,,Potato crisps,2.1
1728,5010338301330,Harissa paste,,,Alfez,"Condiments,Sauces,Harissa sauces",,"Vegetarian,Vegan",Finland,d,Fat and sauces,Dressings and sauces,"Fats and sauces,Dressings and sauces",,,Harissa sauces,4.607
1729,5011308303385,indian style cooking sauce Hot & Spicy Tikka Masala,,,Haugen-gruppen-as,"Condiments,Sauces",,No gluten,Finland,c,Fat and sauces,Dressings and sauces,"Fats and sauces,Dressings and sauces",,,Sauces,4.607
1730,5203197152018,Feta,,,Belas,"Dairies,Fermented foods,Fermented milk products,Cheeses,Greek cheeses,Feta",,PDO,Finland,d,Milk and dairy products,Cheese,"Milk and dairy products,Cheese",,,Feta,12.05
1731,5410358454939,,,,Haribo,"Snacks,Sweet snacks,Confectioneries,Candies",,No artificial colors,Finland,unknown,Sugary snacks,Sweets,"Sugary snacks,Sweets",,,Candies,2.95
1732,5701977550530,Joe' Kurt Strawberry,,,Orkla-foods-norge-as,"Plant-based foods and beverages,Fermented foods,Dairy substitutes,Desserts,Non-dairy desserts,Non-dairy fermented foods,Non-dairy yogurts,Almond milk yogurts",,No gluten,Finland,b,Sugary snacks,Sweets,"Sugary snacks,Sweets",,,Almond milk yogurts,2.95
1733,5765228396629,Omenasose,,,Urtekram,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Desserts,Fruits based foods,Compotes,Apple compotes,Applesauces",,"Organic,EU Organic,NL-BIO-01",Finland,b,Fruits and vegetables,Fruits,"Fruits and vegetables,Fruits",,,Applesauces,1.0
1734,5765228561225,Banana Chips,,,,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Dried products,Dried plant-based foods,Dried fruits,Dried bananas",,"Organic,EU Organic",Finland,e,Fruits and vegetables,Dried fruits,"Fruits and vegetables,Dried fruits",,,Dried bananas,2.9
1735,6405304003537,Täyteläinen lohikeitto,,,Kokkikartano,"Meals,Soups,Reheatable soups,Fish soups",,"No gluten,No lactose",Finland,d,Composite foods,One-dish meals,"Composite foods,One-dish meals",,,Fish soups,2.95
1736,6405877005006,Tuore ruodoton kirjolohifilee,,,Finnforel-oy,"Seafood,Fishes and their products,Fishes,Fatty fishes,Fish fillets,Salmons,Salmon fillets",,"Responsible aquaculture,Responsible aquaculture ASC",Finland,a,Fish Meat Eggs,Fish and seafood,"Fish‚ Meat‚ Eggs,Fish and seafood,Fatty fish",,,Salmon fillets,8.45
1737,6407800016400,Bassak bulgogi,,,,"Meats and their products,Meals,Meals with meat,Rice dishes,Beef dishes",,High in salt - Finland,Finland,c,Composite foods,One-dish meals,"Composite foods,One-dish meals",,,Beef dishes,2.95
1738,6407810018029,,,,Atria,"Meats and their products,Meats,Prepared meats,Chicken and its products,Poultries,Chickens,fr:Charcuteries cuites,Poultry hams,Cooked chicken breast slices",,sv:svanen,Finland,unknown,Fish Meat Eggs,Processed meat,"Fish‚ Meat‚ Eggs,Meat,Poultry",,,Cooked chicken breast slices,13.15
1739,6408430000364,Eila laktoositon kevytmaitojuoma,,,Valio,"Dairies,Milks,Lactose-free milk",,fi:eila,Finland,b,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Lactose-free milk,1.05
1740,6408430000685,Kevytmaito Laktoositon,,,Valio,"Dairies,Milks (liquid and powder),Milks",,"FSC,FSC Mix",Finland,b,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Milks,1.05
1741,6408430011681,Eila laktoositon kevytmaitojuoma,,,Valio,"Dairies,Milks,Lactose-free milk",,No lactose,Finland,b,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Lactose-free milk,1.05
1742,6408430046669,Latte original maitokahvijuoma,,,"Valio,Valio-eila","Beverages,Dairies,Dairy drinks",,Rainforest Alliance,Finland,c,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Dairy drinks,1.05
1743,6408430062669,Mustaherukkakeitto,,,Valio,"Plant-based foods and beverages,Beverages,Plant-based beverages,Fruit-based beverages,Juices and nectars,Artificially sweetened beverages,Fruit juices",,No added sugar,Finland,b,Beverages,Fruit juices,"Beverages,Fruit juices",,,Fruit juices,0.95
1744,6408430140916,Rahka,,,Valio,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Plain fermented dairy desserts,Quarks,Plain quarks",,"Organic,EU Organic,FI-EKO-201",Finland,a,Milk and dairy products,Dairy desserts,"Milk and dairy products,Dairy desserts",,,Plain quarks,2.05
1745,6408430400423,Oat-gurt coconut,,,Valio,"Plant-based foods and beverages,Fermented foods,Dairy substitutes,Desserts,Non-dairy desserts,Non-dairy fermented foods,Non-dairy yogurts,Oat milk yogurts",,No gluten,Finland,b,Sugary snacks,Sweets,"Sugary snacks,Sweets",,,Oat milk yogurts,2.95
1746,6408430408214,Proteiini-Vanukas suklaa-toffee,,,Valio,"Dairies,Desserts,Dairy desserts,Chocolate desserts,Creamy puddings,Chocolate creamy puddings,Refrigerated creamy puddings,Refrigerated chocolate creamy puddings",,No lactose,Finland,unknown,Milk and dairy products,Dairy desserts,"Milk and dairy products,Dairy desserts",,,Refrigerated chocolate creamy puddings,2.05
1747,6408430408788,mango-kerrosjogurtti ja granola,,,Valio,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts",,Vitamin D source,Finland,c,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Yogurts,1.05
1748,6408652221943,Juotava hyvin sokeroimaton kreikkalainen,,,Juustoportti,"Beverages,Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Dairy drinks,Fermented dairy desserts,Fermented drinks,Yogurts,Fermented milk drinks,Drinkable-yogurts",,No lactose,Finland,c,Milk and dairy products,Milk and yogurt,"Beverages,Unsweetened beverages",,,Drinkable-yogurts,1.05
1749,6408653126896,Proteiinirahka mango,,,Juustoportti,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Fermented dairy desserts with fruits,Quarks,Fruit quarks",,No added sugar,Finland,a,Milk and dairy products,Dairy desserts,"Milk and dairy products,Dairy desserts",,,Fruit quarks,2.05
1750,6408653126933,Proteiinivanuklas minttu-suklaa,,,Juustoportti,"Dairies,Desserts,Dairy desserts,Chocolate desserts,Creamy puddings,Chocolate creamy puddings,Refrigerated creamy puddings,Refrigerated chocolate creamy puddings",,No added sugar,Finland,a,Milk and dairy products,Dairy desserts,"Milk and dairy products,Dairy desserts",,,Refrigerated chocolate creamy puddings,2.05
1751,6408659990606,Oat Drink For Coffee,,,Friendly-viking-s,"Plant-based foods and beverages,Beverages,Plant-based foods,Cereals and potatoes,Dairy substitutes,Cereals and their products,Milk substitutes,Plant-based beverages,Plant-based milk alternatives,Cereal-based drinks,Oat-based drinks",,No gluten,Finland,unknown,Beverages,Plant-based milk substitutes,"Beverages,Plant-based milk substitutes",,,Oat-based drinks,0.9
1752,6408659990705,O'gurt greek style mango,,,,"Plant-based foods and beverages,Fermented foods,Dairy substitutes,Desserts,Non-dairy desserts,Non-dairy fermented foods,Non-dairy yogurts",,"No gluten,Vegetarian,Vegan",Finland,c,Sugary snacks,Sweets,"Sugary snacks,Sweets",,,Non-dairy yogurts,2.95
1753,6408659990729,O'gurt greek style vanilla,,,,"Plant-based foods and beverages,Fermented foods,Dairy substitutes,Desserts,Non-dairy desserts,Non-dairy fermented foods,Non-dairy yogurts",,"No gluten,Vegetarian,Vegan",Finland,c,Sugary snacks,Sweets,"Sugary snacks,Sweets",,,Non-dairy yogurts,2.95
1754,6408659991214,Maansikka greek style o'gurt,,,,"Plant-based foods and beverages,Fermented foods,Dairy substitutes,Desserts,Non-dairy desserts,Non-dairy fermented foods,Non-dairy yogurts",,"Vegetarian,Vegan",Finland,c,Sugary snacks,Sweets,"Sugary snacks,Sweets",,,Non-dairy yogurts,2.95
1755,6408659992006,Plant protein drink chocolate,,,Friendly-viking-s,"Plant-based foods and beverages,Beverages,Plant-based foods,Cereals and potatoes,Dairy substitutes,Cereals and their products,Milk substitutes,Plant-based beverages,Plant-based milk alternatives,Cereal-based drinks,Dietary supplements,Bodybuilding supplements,Oat-based drinks,Cocoa oat-based drinks",,No gluten,Finland,c,Beverages,Plant-based milk substitutes,"Beverages,Plant-based milk substitutes",,,Cocoa oat-based drinks,0.9
1756,6408659992020,Plant protein drink vanilla,,,Juustoportti,"Plant-based foods and beverages,Beverages,Plant-based foods,Cereals and potatoes,Dairy substitutes,Cereals and their products,Milk substitutes,Plant-based beverages,Plant-based milk alternatives,Cereal-based drinks,Oat-based drinks",,No gluten,Finland,c,Beverages,Plant-based milk substitutes,"Beverages,Plant-based milk substitutes",,,Oat-based drinks,0.9
1757,6409100022778,Kebabpuikko kalkkunasta,,,Kariniemen,"Meats and their products,Meats,Poultries,Turkey and its products,Turkeys",,"No gluten,Source of proteins,High proteins,No lactose,fi:Hyvää Suomesta",Finland,b,Fish Meat Eggs,Meat,"Fish‚ Meat‚ Eggs,Meat,Poultry",,,Turkeys,43.33
1758,6409100057008,Amerikan pekoni lastu,,,Hkscan,"Meats and their products,Meats,Pork and its products,Pork,Bacon",,High in salt - Finland,Finland,e,Fish Meat Eggs,Meat,"Fish‚ Meat‚ Eggs,Meat,Meat other than poultry",,,Bacon,43.33
1759,6409538431500,Paprika-majoneesi,,,Auran,"Condiments,Sauces,Mayonnaises",,"No gluten,Avainlippu,No lactose",Finland,d,Fat and sauces,Dressings and sauces,"Fats and sauces,Dressings and sauces",,,Mayonnaises,4.607
1760,6409710007882,Pizzasuikale,,,Pouttu,"Meats and their products,Meats,Pork and its products,Pork",,High in salt - Finland,Finland,d,Fish Meat Eggs,Meat,"Fish‚ Meat‚ Eggs,Meat,Meat other than poultry",,,Pork,43.33
1761,6409720001047,Cardemum bagel,,,Keski,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Special breads,Bagel breads",,No lactose,Finland,unknown,Cereals and potatoes,Bread,"Cereals and potatoes,Bread",,,Bagel breads,2.5
1762,6410402013425,Luomu hernekeitto,,,Pirkka,"Canned foods,Meals,Soups,Canned meals,Canned soups",,"Organic,EU Organic",Finland,unknown,Composite foods,One-dish meals,"Composite foods,One-dish meals",,,Canned soups,2.95
1763,6410405183521,Mud cake mutakkaku,,,Pirkka,"Snacks,Sweet snacks,Biscuits and cakes,Cakes,Chocolate cakes",,Rainforest Alliance,Finland,e,Sugary snacks,Biscuits and cakes,"Sugary snacks,Biscuits and cakes",,,Chocolate cakes,2.5
1764,6410405267214,Juustolajitelma,,,Pirkka-parhaat,"Dairies,Fermented foods,Fermented milk products,Cheeses",,PDO,Finland,unknown,Milk and dairy products,Cheese,"Milk and dairy products,Cheese",,,Cheeses,12.05
1765,6410405300966,Suklaamuro,,,Pirkka,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Chocolate cereals,Extruded cereals,Chocolate wheat shells",,Rainforest Alliance,Finland,c,Cereals and potatoes,Breakfast cereals,"Cereals and potatoes,Breakfast cereals",,,Chocolate wheat shells,2.65
1766,6411200110798,Kaura-porkkana makaroni,,,Torino,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Pastas",,"Source of fibre,High fibres,fi:Hyvää Suomesta,fi:Sydänmerkki",Finland,a,Cereals and potatoes,Cereals,"Cereals and potatoes,Cereals",,,Pastas,2.65
1767,6411200112839,Benecol oat mustikka,,,Benecol,"Plant-based foods and beverages,Fermented foods,Dairy substitutes,Desserts,Non-dairy desserts,Non-dairy fermented foods,Non-dairy yogurts,Oat milk yogurts",,"Vegetarian,Vegan,Made in Germany",Finland,c,Sugary snacks,Sweets,"Sugary snacks,Sweets",,,Oat milk yogurts,2.95
1768,6411200113737,Ab-kaura-välipala,,,Elovena,"Plant-based foods and beverages,Fermented foods,Dairy substitutes,Desserts,Non-dairy desserts,Non-dairy fermented foods,Non-dairy yogurts,Oat milk yogurts",,Made in Germany,Finland,c,Sugary snacks,Sweets,"Sugary snacks,Sweets",,,Oat milk yogurts,2.95
1769,6411200113744,Ab-kaura-välipala,,,Elovena,"Plant-based foods and beverages,Fermented foods,Dairy substitutes,Desserts,Non-dairy desserts,Non-dairy fermented foods,Non-dairy yogurts,Oat milk yogurts",,"Made in Germany,Pure juice",Finland,b,Sugary snacks,Sweets,"Sugary snacks,Sweets",,,Oat milk yogurts,2.95
1770,6412500006170,Pipari Fudge,,,panda,"Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolate candies,Bonbons",,"PEFC,Rainforest Alliance",Finland,e,Sugary snacks,Sweets,"Sugary snacks,Sweets",,,Bonbons,2.95
1771,6413300016468,Rasvatonta AB-piimää Suomesta,,,Arla,"Beverages,Dairies,Fermented foods,Fermented milk products,Dairy drinks,Fermented drinks,Fermented milk drinks",,"No lactose,fi:Hyvää Suomesta",Finland,b,Milk and dairy products,Milk and yogurt,"Beverages,Unsweetened beverages",,,Fermented milk drinks,1.05
